Title,Address,Phone,Mobile,Email,Website,LinkeIn,URL
12.18. Group,"Königsallee 2b, 40212 Düsseldorf, Deutschland",+49 211 580807-0,,info@12-18.com,http://www.12-18.com,https://www.linkedin.com/company/12-18-investment-management,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/1218-group/?elb=847.1100.3892.1.111&uls=2
202up GmbH,"Oppelner Straße 33, 10997 Berlin, Deutschland",+49 30 2332180-80,+49 178 6847029,hello@202up.com,https://www.202up.com,https://www.linkedin.com/company/73238021,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/202up-gmbh/?elb=847.1100.7174.1.111&uls=2
A&A Holding,"ul. Piotrkowska 146, 90-063 Łódź, Polen",+48 42 6320000,,biuro@aia.pl,https://www.nieruchomosci.aia.pl,https://www.linkedin.com/company/aamarketing-nieruchomości-komercyjne,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/a-und-a-holding/?elb=847.1100.7602.1.111&uls=2
196+ events GmbH,"Schubertring 3, 1010 Wien, Österreich",+43 1 5120707,+43 664 60969148,events@196plus.com,http://www.196plus.com,https://www.linkedin.com/company/72443669/admin/dashboard/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/196-und-events-gmbh/?elb=847.1100.6924.1.111&uls=2
Accord Group Holdings LLC,"240 Stockton Street, San Francisco, CA 94108, USA",,+49 172 2723048,akerscher@accord-group.net,https://www.accord-group.net,https://www.linkedin.com/company/accord-group-holdings-llc,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/accord-group-holdings-llc/?elb=847.1100.7859.1.111&uls=2
ACHAT Hotels,"Konrad-Zuse-Ring 23, 68163 Mannheim, Deutschland",+49 621 4807-0,,marketing@achat-hotels.com,https://www.achat-hotels.com,https://www.linkedin.com/company/achat-hotels,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/achat-hotels/?elb=847.1100.5920.1.111&uls=2
abrdn Investments Deutschland AG,"Bockenheimer Landstr. 25, 60325 Frankfurt am Main, Deutschland",+49 69 768072-100,,info.germany@abrdn.com,https://www.abrdn.com/de,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/abrdn-investments-deutschland-ag/?elb=847.1100.7154.1.111&uls=2
Academy of Finance VÖB-Service GmbH,"Godesberger Allee 88, 53175 Bonn, Deutschland",+49 228 8192-221,+49 1515 0122641,academy@voeb-service.de,http://www.voeb-service.de/academy,https://www.linkedin.com/company/v%C3%B6b-service-gmbh/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/academy-of-finance-voeb-service-gmbh/?elb=847.1100.2534.1.111&uls=2
ACCUMULATA Group GmbH,"Rindermarkt 5, 80331 München, Deutschland",+49 89 178035-0,,info@accumulata.de,http://www.accumulata.de,https://www.linkedin.com/company/accumulata/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/accumulata-group-gmbh/?elb=847.1100.1921.1.111&uls=2
ABG FRANKFURT HOLDING Wohnungsbau- u. Beteiligungsgesellschaft mbH,"Niddastraße 107, 60329 Frankfurt am Main, Deutschland",,,,http://www.abg.de,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/abg-frankfurt-holding-wohnungsbau-u-beteiligungsgesellschaft-mbh/?elb=847.1100.3731.1.111&uls=2
Aareon Deutschland GmbH,"Isaac-Fulda-Allee 6, 55124 Mainz, Deutschland",+49 6131 301-0,,info@aareon.com,http://www.aareon.com,https://www.linkedin.com/company/aareon-dach/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/aareon-deutschland-gmbh/?elb=847.1100.2258.1.111&uls=2
Aareon CRE,"Kabelweg 37, 1014 BA Amsterdam, Niederlande",,,,http://www.aareoncre.nl,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/aareon-cre/?elb=847.1100.7547.1.111&uls=2
AccorHotels Deutschland GmbH,"Joseph-Wild-Strasse 16, 81829 München, Deutschland",+49 89 630024-87,,hotel.entwicklung@accor.com,https://www.group.accor.com,https://www.linkedin.com/company/accor/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/accorhotels-deutschland-gmbh/?elb=847.1100.4571.1.111&uls=2
AGIT Aachener Gesellschaft für Innovation und Technologietransfer mbH,"Pauwelsstraße 17, 52074 Aachen, Deutschland",+49 241 475773-0,,info@agit.de,https://www.agit.de,https://www.linkedin.com/company/agit-mbh/posts/?feedView=all,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/agit-aachener-gesellschaft-fuer-innovation-und-technologietransfer-mbh/?elb=847.1100.2218.1.111&uls=2
Affinius Capital,"Colonnade Blvd, Suite 600 9830, San Antonio 78230, USA",,,,http://www.affiniuscapital.com,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/affinius-capital/?elb=847.1100.1944.1.111&uls=2
Aareal Bank AG,"Paulinenstraße 15, 65189 Wiesbaden, Deutschland",+49 611 348-0,,fairs@aareal-bank.com,http://www.aareal-bank.com,https://www.linkedin.com/company/aareal-bank,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/aareal-bank-ag/?elb=847.1100.1731.1.111&uls=2
Ahlers & Vogel Rechtsanwälte PartG mbB,"Contrescarpe 21, 28203 Bremen, Deutschland",+49 421 3334-0,,expo@ahlers-vogel.de,http://www.ahlers-vogel.de,https://www.linkedin.com/company/ahlers-&-vogel,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/ahlers-und-vogel-rechtsanwaelte-partg-mbb/?elb=847.1100.5904.1.111&uls=2
AEW,"43 avenue Pierre Mendès France, 75013 Paris, Frankreich",,,,https://www.aew.com,https://www.linkedin.com/company/aew-global/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/aew/?elb=847.1100.5800.1.111&uls=2
ADIRA,"3, quai Kléber, 67000 Strasbourg, Frankreich",,,,https://www.adira.com,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/adira/?elb=847.1100.5225.2.111&uls=2
ADOLF WEBER Grundbesitz- und Projektgesellschaft,"Hans-Henny-Jahnn-Weg 17, 22085 Hamburg, Deutschland",+49 40 669630,,info@adolfweber.com,https://www.adolfweber.com/,https://www.linkedin.com/company/adolf-weber-grundbesitz-und-projektgesellschaft/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/adolf-weber-grundbesitz-und-projektgesellschaft/?elb=847.1100.6709.1.111&uls=2
Adina Hotels Europe,"Leipziger Str. 124, 10117 Berlin, Deutschland",+49 30 8632980,,info@adina.eu,http://www.adinahotels.com,https://www.linkedin.com/company/1026817,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/adina-hotels-europe/?elb=847.1100.6541.1.111&uls=2
agn Projektmanagement GmbH (pm.a),"Am Mittelhafen 14 Dock 14, 48155 Münster, Deutschland",+49 251 915888-0,,info@pm-agn.de,http://www.pm-agn.de,https://www.linkedin.com/company/pm-a-agn-projektmanagement-gmbh/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/agn-projektmanagement-gmbh-pma/?elb=847.1100.7139.1.111&uls=2
ADIRA,"3, quai Kléber, 67000 Strasbourg, Frankreich",,,,https://www.adira.com,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/adira/?elb=847.1100.5225.1.111&uls=2
Aengevelt Immobilien GmbH & Co. KG,"Kennedydamm 55 / Ross-Straße, 40476 Düsseldorf, Deutschland",+49 211 8391-0,,kontakt@aengevelt.com,http://www.aengevelt.com,https://www.linkedin.com/company/54112986/admin/feed/posts/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/aengevelt-immobilien-gmbh-und-co-kg/?elb=847.1100.1868.1.111&uls=2
aedifion GmbH,"Hohenzollernring 72, 50672 Köln, Deutschland",+49 221 98650-770,,contact@aedifion.com,https://www.aedifion.com,https://www.linkedin.com/company/aedifion/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/aedifion-gmbh/?elb=847.1100.6614.1.111&uls=2
Stadt Aalen,"Marktplatz 30, 73430 Aalen, Deutschland",,,,http://www.aalen.de,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/stadt-aalen/?elb=847.1100.2384.1.111&uls=2
activelaw Offenhausen.Wolter PartmbB,"Hans-Böckler-Allee 26, 30173 Hannover, Deutschland",,,kontakt@activelaw.de,https://www.activelaw.de,https://www.linkedin.com/company/activelaw/mycompany/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/activelaw-offenhausenwolter-partmbb/?elb=847.1100.7393.1.111&uls=2
Ackermann Immobilienbewertung Carsten und Jörg Ackermann GbR,"Stirnband 38, 58093 Hagen, Deutschland",,,,https://ackermann-immobilienbewertung.de,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/ackermann-immobilienbewertung-carsten-und-joerg-ackermann-gbr/?elb=847.1100.5285.1.111&uls=2
ADC Sp. z o.o.,"Stawki 2, 00-193 Warszawa, Polen",,+48 536 840130,office@adc.pm,https://www.adc.pm,https://www.linkedin.com/company/adcpoland/?viewAsMember=true,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/adc-sp-z-oo/?elb=847.1100.7627.1.111&uls=2
Aalener Treuhand Gewerbe-Immobilien GmbH,"Bahnhofstraße 7, 73430 Aalen, Deutschland",+49 7361 6069,,immobilien@aalener-treuhand.de,https://www.aalener-treuhand.de,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/aalener-treuhand-gewerbe-immobilien-gmbh/?elb=847.1100.4174.1.111&uls=2
Action Deutschland GmbH,"Schirmerstraße 76, 40211 Düsseldorf, Deutschland",+49 211 30146-007,,expansion.de@action.com,http://www.action.com,https://www.linkedin.com/company/623842,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/action-deutschland-gmbh/?elb=847.1100.4718.1.111&uls=2
ALDI SÜD - Projektentwicklung Köln,"Edisonstraße 12, 41542 Dormagen, Deutschland",,,,https://www.aldi-sued.de/de/immobilien/aktuelles/expo-koeln.html,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/aldi-sued-projektentwicklung-koeln/?elb=847.1100.6791.1.111&uls=2
ALDI SÜD - Projektentwicklung Stuttgart,"Riedstrasse 8-12, 72631 Aichtal, Deutschland",+49 7127 958-1005,,Stuttgart@aldi-sued.de,https://www.aldi-sued.de/de/immobilien/aktuelles/expo-stuttgart.html,https://www.linkedin.com/company/aldi-sued,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/aldi-sued-projektentwicklung-stuttgart/?elb=847.1100.6983.1.111&uls=2
aldacon Gesellschaft  für Immobilienvermittlung und Consulting mbH,"Bohlweg 28, 38259 Salzgitter, Deutschland",,,,https://www.aldacon.de,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/aldacon-gesellschaft-fuer-immobilienvermittlung-und-consulting-mbh/?elb=847.1100.6843.1.111&uls=2
ALDI SÜD - Local Office Rhein-Main,"Hessenring 1-3, 64546 Mörfelden, Deutschland",,,,http://www.aldi-sued.de,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/aldi-sued-local-office-rhein-main/?elb=847.1100.6881.1.111&uls=2
ALDI SÜD - Projektentwicklung München,"Anzinger Straße 6, 85560 Ebersberg, Deutschland",+49 8092 8299-500,,muenchen@aldi-sued.de,https://www.aldi-sued.de/de/immobilien.html,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/aldi-sued-projektentwicklung-muenchen/?elb=847.1100.7010.1.111&uls=2
ABN AMRO Bank,"Gustav Mahlerlaan 10, 1281 PP Amsterdam, Niederlande",,,,https://www.abnamro.com,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/abn-amro-bank/?elb=847.1100.4291.1.111&uls=2
Albert-Vater-Str. Verwaltungs GmbH,"Albert-Vater-Straße 50, 39108 Magdeburg, Deutschland",,,,https://www.getec-energyservices.com,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/albert-vater-str-verwaltungs-gmbh/?elb=847.1100.5664.1.111&uls=2
"ALDI SÜD Real Estate Portfoliomanagement, Projektentwicklung, Bestandsmanagement","Burgstraße 37, 45476 Mülheim an der Ruhr, Deutschland",+49 208 9927-6043,,cooperation@aldi-sued.de,http://www.aldi-sued.de/de/immobilien.html,https://linkedin.com/in/tobihaus,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/aldi-sued-real-estate-portfoliomanagement-projektentwicklung-bestandsmanagement/?elb=847.1100.7170.1.111&uls=2
ALDI Immobilienverwaltung GmbH & Co.KG,"Hohewardstrasse 345-349, 45699 Herten, Deutschland",,,portfolio@aldi-nord.de,https://www.aldi-nord.de,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/aldi-immobilienverwaltung-gmbh-und-cokg/?elb=847.1100.6825.3.111&uls=2
albrings + müller ag,"Silberburgstraße 157, 70178 Stuttgart, Deutschland",+49 711 528504-34,+49 173 6739330,t.doering@am-ag.de,http://www.am-ag.de,https://www.linkedin.com/company/albrings-mueller-ag/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/albrings-und-mueller-ag/?elb=847.1100.7133.1.111&uls=2
AIVG Architektur- und Ingenieurvermessung GMBH,"Paradiesstrasse 42, 01217 Dresden, Deutschland",+49 351 6475465-0,+49 174 1070088,info@aivg-dresden.de,https://www.aivg-dresden.de,https://www.linkedin.com/company/aivg/about/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/aivg-architektur-und-ingenieurvermessung-gmbh/?elb=847.1100.7968.1.111&uls=2
AM,"Ptolemaeuslaan 80, 3528 BP Utrecht, Niederlande",+31 30 6097222,,info@am.nl,https://www.am.nl,https://www.linkedin.com/company/am/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/am/?elb=847.1100.2737.1.111&uls=2
AirportPark FMO GmbH,"Airportallee 1 Airport Center 1, 48268 Greven, Deutschland",+49 2571 94-4780,,info@airportparkfmo.de,http://www.airportparkfmo.com,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/airportpark-fmo-gmbh/?elb=847.1100.2335.1.111&uls=2
Alasco GmbH,"Leopoldstr. 21, 80802 Munich, Deutschland",+49 89 248867750,,kontakt@alasco.de,https://www.alasco.com,https://www.linkedin.com/company/alasco-software/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/alasco-gmbh/?elb=847.1100.5792.1.111&uls=2
ALDI SÜD - Region Süd-West,"Im Wöhr 7-9, 76437 Rastatt, Deutschland",+49 6721 972538-17,,realestate.bin@aldi-sued.de,http://www.aldi-sued.de/de/immobilien.html,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/aldi-sued-region-sued-west/?elb=847.1100.7448.1.111&uls=2
Landkreis Aichach-Friedberg,"Münchener Straße 9, 86551 Aichach, Deutschland",,,,"https://lra-aic-fdb.de/,https://lra-aic-fdb.de/landkreis/wirtschaftsfoerderung/",,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/landkreis-aichach-friedberg/?elb=847.1100.2912.1.111&uls=2
AOC | DIE STADTENTWICKLER,"Liebknechtstraße 55, 39108 Magdeburg, Deutschland",,,,https://www.aoc-diestadtentwickler.com,https://www.linkedin.com/company/aoc-diestadtentwickler/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/aoc--die-stadtentwickler/?elb=847.1100.6640.1.111&uls=2
Aigner Immobilien GmbH,"Ruffinistraße 26, 80637 München, Deutschland",+49 89 178787-0,,info@aigner-immobilien.de,http://www.aigner-immobilien.de,https://de.linkedin.com/company/aigner-immobilien-gmbh,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/aigner-immobilien-gmbh/?elb=847.1100.1841.1.111&uls=2
Airport Region BER c/o Wirtschaftsförderungsgesellschaft Dahme-Spreewald mbH,"Freiheitstraße 120B, 15745 Wildau, Deutschland",+49 3375 52380,,info@wfg-lds.de,https://airport-region-ber.de,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/airport-region-ber-c-o-wirtschaftsfoerderungsgesellschaft-dahme-spreewald-mbh/?elb=847.1100.7000.1.111&uls=2
Anteon Immobilien GmbH & Co. KG,"Ernst-Schneider-Platz 1, 40212 Düsseldorf, Deutschland",+49 211 585889-0,,"info@anteon.de, k.jurick@anteon.de",http://www.anteon.de,https://www.linkedin.com/company/6941250/admin/dashboard/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/anteon-immobilien-gmbh-und-co-kg/?elb=847.1100.2493.1.111&uls=2
Andersen GmbH Rechtsberatung Steuerberatung,"Leipziger Platz 1, 10117 Berlin, Deutschland",+49 30 920314-500,,marketing@de.andersen.com,https://de.andersen.com,https://www.linkedin.com/company/andersende,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/andersen-gmbh-rechtsberatung-steuerberatung/?elb=847.1100.5680.1.111&uls=2
Gemeente Amsterdam,"Weesperplein 8, 1018 XA Amsterdam, Niederlande",+31 206 241111,,go.communicatie@amsterdam.nl,https://www.amsterdam.nl,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/gemeente-amsterdam/?elb=847.1100.7592.1.111&uls=2
AMADEUS Marketing GmbH - Amadeus Group,"Robert-Bosch-Str. 16, 65549 Limburg/Lahn, Deutschland",+49 6431 9199-0,,info@amadeus-group.de,http://www.amadeus-group.de,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/amadeus-marketing-gmbh-amadeus-group/?elb=847.1100.3461.1.111&uls=2
Allianz Partners Deutschland GmbH - Allianz Handwerker Services,"Bahnhofstr. 16, 85609 Aschheim, Deutschland",+49 89 51719-0,,info@allianz-handwerker.de,https://www.allianz-handwerker.de,https://www.linkedin.com/showcase/allianz-partners-germany/?originalSubdomain=de,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/allianz-partners-deutschland-gmbh-allianz-handwerker-services/?elb=847.1100.7624.1.111&uls=2
alstria office REIT-AG,"Steinstraße 7, 20095 Hamburg, Deutschland",+49 40 226341-300,,"info@alstria.de, career@alstria.de",http://www.alstria.de,https://www.linkedin.com/company/alstria-office-reit-ag,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/alstria-office-reit-ag/?elb=847.1100.1672.1.111&uls=2
Altus Group,"180 Great Portland Street, London W1W 5QZ, Großbritannien",,,,https://www.altusgroup.com,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/altus-group/?elb=847.1100.5563.1.111&uls=2
allerland Immobilien GmbH,"Am Französischen Garten 2, 29221 Celle, Deutschland",+49 5141 9023-0,,info@aller.land,https://www.aller.land,https://www.linkedin.com/company/allerland-immobilien-gmbh/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/allerland-immobilien-gmbh/?elb=847.1100.7811.1.111&uls=2
Arnold Investments,"Seilergasse 14, 1010 Wien, Österreich",+43 1 5130152,,,https://www.arnold.investments,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/arnold-investments/?elb=847.1100.4371.1.111&uls=2
Arnold Hertz Immobilien GmbH & Co. KG,"Große Bleichen 68, 20354 Hamburg, Deutschland",,,,http://www.arnold-hertz-immobilien.de,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/arnold-hertz-immobilien-gmbh-und-co-kg/?elb=847.1100.2558.1.111&uls=2
"Landkreis Altenburger Land - Fachdienst Wirtschaft, Tourismus und Kultur","Lindenaustraße 9, 04600 Altenburg, Deutschland",+49 3447 586-285,,wirtschaftsfoerderung@altenburgerland.de,https://www.altenburgerland.de,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/landkreis-altenburger-land-fachdienst-wirtschaft-tourismus-und-kultur/?elb=847.1100.2532.1.111&uls=2
ALÌTUS Capital Partners GmbH,"Koldestraße 16, 91052 Erlangen, Deutschland",+49 9131 53087-0,,info@alitus-cp.de,https://www.alitus-cp.de,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/alitus-capital-partners-gmbh/?elb=847.1100.5912.1.111&uls=2
a&o Hotels and Hostels,"Adalberstraße 50, 10179 Berlin, Deutschland",,,development@aohostels.com,https://www.aohostels.com/de/ueber-ao/expansion,https://www.linkedin.com/company/aohostels,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/a-und-o-hotels-and-hostels/?elb=847.1100.7556.1.111&uls=2
Althoff Beratungs- und Betreuungsgesellschaft mbH,"Aachenerstraße 1348, 50859 Köln, Deutschland",+49 2234 37900,,lanfer@althoffhotels.com,https://www.althoffhotels.com,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/althoff-beratungs-und-betreuungsgesellschaft-mbh/?elb=847.1100.7349.1.111&uls=2
ALHO Systembau GmbH,"Hammer 1, 51598 Friesenhagen, Deutschland",+49 2294 696-111,,info@alho.com,https://www.alho.com,https://www.linkedin.com/company/alho-systembau-gmbh,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/alho-systembau-gmbh/?elb=847.1100.4563.2.111&uls=2
Armin Quester Immobilien GmbH,"Friedrich-Wilhelm-Str. 7, 47051 Duisburg, Deutschland",,,,http://www.quester.de,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/armin-quester-immobilien-gmbh/?elb=847.1100.3438.1.111&uls=2
ARE Austrian Real Estate GmbH,"Trabrennstraße 2b, 1020 Wien, Österreich",,,,https://www.are.at,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/are-austrian-real-estate-gmbh/?elb=847.1100.3383.1.111&uls=2
